company,ats,title,location,region_label,needs_sponsorship,department,posted_at,url,job_hash
clera,ashby,Staff Fullstack Engineer,remote,Remote (unspecified),0,Engineering,2026-09-26T17:25:54.673000+00:00,https://jobs.ashbyhq.com/clera/9e42e375-2fba-4780-9807-eef1a1415f74,ec16aa01a07d4446
d-matrix,ashby,"Director Site Reliability Engineer, AI Infrastructure ",Santa Clara,United States,0,G&A,2026-09-26T17:25:05.406000+00:00,https://jobs.ashbyhq.com/d-matrix/505b7fa6-666a-44d5-9b23-88b7eec20502,e320f62d7b11fbc0
clera,ashby,Developer Relations Engineer,San Francisco,United States,0,Engineering,2026-09-26T17:08:11.279000+00:00,https://jobs.ashbyhq.com/clera/571c7147-6f4a-4ce1-a00b-36bdde583f09,e9b12ea2e968a32e
clera,ashby,"Full-Stack Software Engineer, Reinforcement Learning",San Francisco,United States,0,Engineering,2026-09-26T17:05:31.740000+00:00,https://jobs.ashbyhq.com/clera/aa945093-8315-4166-a5d5-f39a47fc1bba,c8e2a072db12ca52
clera,ashby,Platform Engineer (Kubernetes),San Francisco,United States,0,Engineering,2026-09-26T17:04:40.883000+00:00,https://jobs.ashbyhq.com/clera/3847113c-e342-406d-8c30-7a39a8c1cdec,42ccb08c1cc521b8
vardaspace,greenhouse,"Spacecraft Systems Engineer II, Avionics","El Segundo, California, United States",United States,0,Spacecraft Engineering,2026-09-26T12:40:32-04:00,https://job-boards.greenhouse.io/vardaspace/jobs/8006335003,2322686203ee9c82
handshake,ashby,"Senior Software Engineer, Coding","San Francisco, CA",United States,0,Engineering,2026-09-26T16:23:18.946000+00:00,https://jobs.ashbyhq.com/handshake/c337b45f-8b40-4588-9315-a9d0a1560baf,18247a1aa4b28212
leidos,workday,Systems and Platform Engineer,"Bethesda, MD",United States,0,,2026-09-25T19:13:32.190531+00:00,https://leidos.wd5.myworkdayjobs.com/en-US/external/job/Bethesda-MD/Systems-and-Platform-Engineer_R-00188038-1,e720925642ef62aa
clera,ashby,"Software Engineer, Foundation",Berlin,Europe (EU),1,Engineering,2026-09-26T17:30:08.061000+00:00,https://jobs.ashbyhq.com/clera/a7dae887-61cb-46aa-8c15-4b707976a794,91bca5b57e541011
clera,ashby,Founding Full-Stack iOS Engineer,London,United Kingdom,1,Engineering,2026-09-26T17:20:50.665000+00:00,https://jobs.ashbyhq.com/clera/c0391921-c2fa-44f9-897b-9cdc8fe746fd,50b981e784842df3
clera,ashby,Data Scientist,Berlin,Europe (EU),1,Engineering,2026-09-26T17:06:26.960000+00:00,https://jobs.ashbyhq.com/clera/7d898117-72e6-44d2-b6a8-ecec48ae5a3c,35912783938dc56b
